Area Code,Block Number,Field,Structure Name,Structure Number,Struc Type Code,Authority Type,Authority Number,Authority Status,Bus Asc Name,Complex Id Num,Maj Struc Flag,Install Date,Removal Date,Site Clear Date,District Code,Heliport Flag,Lease Number,Water Depth (feet),INCs,Latitude,Longitude,Nad Year Cd,Proj Code,Ptfrm X Location,Ptfrm Y Location,Surf N S Dist,Surf N S Code,Surf E W Dist,Surf E W Code,Attended 8 Hr,Manned 24 Hr
BA,A  53,BA052A,D,1,FIXED,OCS Lease,G06086,TERMIN,"Noble Energy, Inc.",10508,Y,1/1/1990,8/13/2010,9/28/2010,4,Y,G06086,164,11,28.070161,-95.576666,27,71,3104002.81,102274,686,N,7473,E,N,N
BA,  376,BA376,A,1,FIXED,OCS Lease,G07215,TERMIN,"EPL Oil & Gas, LLC",10521,Y,1/1/1990,7/28/2015,8/15/2015,4,N,G07215,56,44,28.666721,-95.394782,27,71,3155955.81,320836,3884,N,3040,E,N,N
BA,  364,BA364,1,1,CAIS,OCS Lease,G07214,TERMIN,"Mariner Energy, Inc.",10560,N,1/1/1992,3/31/2005,5/20/2005,4,N,G07214,67,2,28.70174511,-95.33167611,27,71,3175783.81,334193,6367,N,948,W,N,N
BA,A  19,BA020A,JC,1,FIXED,OCS Lease,G03936,TERMIN,Shell Offshore Inc.,466,N,6/19/1999,6/22/2001,6/22/2001,4,Y,G03936,133,2,28.17183636,-95.57684943,27,71,3102861.81,139226,4586,S,7226,W,N,N
BA,A  28,BA017A,A,1,FIXED,OCS Lease,G02659,TERMIN,Samedan Oil Corporation,10158,Y,1/1/1980,7/11/1992,7/11/1992,4,N,G02659,150,1,28.149686,-95.494868,27,71,3129507.81,131958,2682,N,2192,W,N,N
BA,A  23,BA023A,A,1,FIXED,OCS Lease,G32731,EXPIR,McMoRan Oil & Gas LLC,10171,Y,1/1/1981,6/26/2015,10/27/2015,4,Y,G32731,134,41,28.127085,-95.715465,27,71,3058671.81,121680,2880,S,5284,E,N,N
BA,A 133,BA133A,E,3,FIXED,OCS Lease,G02665,OPERNS,GOM Shelf LLC,10249,N,1/1/1990,,,4,Y,G02665,204,3,27.835125,-96.01263,27,71,2965622.81,12985,5065,S,3293,E,Y,Y
BA,  452,BA453,1,1,CAIS,Time Extension,,,"Energy Resource Technology, Inc.",10426,N,1/1/1988,3/30/2008,6/16/2008,4,Y,G12363,73,19,28.507622,-95.652007,27,71,3075159.81,260563,797,N,4636,E,N,N
BA,  517,MI487,1,1,CAIS,OCS Lease,G11279,TERMIN,"Devon SFS Operating, Inc.",10492,N,1/1/1990,3/11/2004,7/12/2004,4,N,G11279,65,3,28.383558,-96.01793,27,71,2958825.81,212290,1550,N,5750,W,N,N
BA,  398,BA398,A,1,FIXED,OCS Lease,G11270,TERMIN,Falcon Offshore Operating Company,10587,Y,10/21/1993,11/29/1998,3/26/1999,4,Y,G11270,77,1,28.59973397,-95.42674727,27,71,3146453.81,296178,3138,S,3298,W,N,N
BA,A  51,BA052A,F,1,WP,OCS Lease,G08549,TERMIN,"Noble Energy, Inc.",10589,N,10/18/1993,6/24/2010,9/3/2010,4,Y,G08549,162,4,28.035207,-95.662675,27,71,3076635.81,88768,1648,S,3160,E,N,N
BA,  552,BA552,A,1,FIXED,OCS Lease,G11283,RELINQ,Devon Louisiana Corporation,28007,N,6/9/1994,7/18/2004,9/1/2004,4,N,G11283,79,3,28.297182,-95.969292,27,71,2975274.81,181297,863,N,6359,W,N,N
BA,  541,,A,1,FIXED,OCS Lease,G14812,TERMIN,Sabine Oil & Gas Corporation,793,N,9/14/2000,1/28/2011,10/11/2011,4,Y,G14812,115,1,28.32369042,-95.45555645,27,71,3140254.81,195578,2422,N,2901,E,N,N
BA,A 105,BA105A,A,1,FIXED,OCS Lease,G01757,PROD,Fieldwood Energy IV LLC,10071,Y,1/1/1975,,,4,Y,G01757,188,55,27.902779,-95.987635,27,71,2973066.81,37785,1815,N,4151,W,Y,Y
BA,A  19,BA020A,B,1,FIXED,OCS Lease,G03936,TERMIN,Shell Offshore Inc.,10146,N,1/1/1980,8/26/2016,11/25/2016,4,Y,G03936,132,22,28.180139,-95.587834,27,71,3099235.81,142140,7500,S,3600,W,Y,Y
BA,A  19,BA020A,D,3,WP,OCS Lease,G03936,TERMIN,Shell Offshore Inc.,10146,N,1/1/1983,8/19/2016,11/25/2016,4,Y,G03936,132,5,28.179171,-95.588306,27,71,3099093.81,141784,7144,S,3458,W,Y,Y
BA,  437,BA437,1,1,FIXED,OCS Lease,G04140,TERMIN,Barrett Resources Corporation,10167,N,1/1/1981,2/12/2002,4/14/2002,4,N,G04140,60,8,28.548845,-95.678322,27,71,3066285.81,275304,1896,N,2330,W,N,N
BA,  453,BA453,A,1,FIXED,OCS Lease,G04713,TERMIN,Talos ERT LLC,10266,Y,1/1/1985,7/4/2011,7/31/2011,4,Y,G04713,77,9,28.503716,-95.61776,27,71,3086195.81,259460,1900,N,6400,W,Y,Y
BA,  436,BA453,3,1,FIXED,OCS Lease,G04258,TERMIN,Talos ERT LLC,10281,N,1/1/1985,9/2/2009,4/28/2010,4,Y,G04258,75,55,28.538734,-95.605542,27,71,3089748.81,272300,4900,N,5887,E,N,N
BA,A 133,BA133A,D,1,FIXED,OCS Lease,G02665,OPERNS,GOM Shelf LLC,10461,Y,1/1/1987,,,4,Y,G02665,204,21,27.838765,-96.02819,27,71,2960560.81,14180,6260,S,7485,W,N,N
BA,  435,BA412,1,1,CAIS,OCS Lease,G07219,TERMIN,Burlington Resources Offshore Inc.,10488,N,1/1/1989,1/11/1998,2/8/1998,4,Y,G07219,69,1,28.549787,-95.576174,27,71,3099056.81,276592,608,N,3421,W,N,N
BA,  399,BA399,A,1,FIXED,OCS Lease,G07218,TERMIN,Devon Louisiana Corporation,10504,Y,1/1/1991,8/19/2003,9/19/2003,4,N,G07218,60,1,28.6335001,-95.44833216,27,71,3139157.81,308238,642,N,3998,E,N,N
BA,  399,BA399,2,1,WP,OCS Lease,G07217,TERMIN,Devon Louisiana Corporation,10532,N,1/1/1991,8/24/2001,10/24/2001,4,N,G07217,60,2,28.620596,-95.444061,27,71,3140669.81,303590,5290,N,2486,E,N,N
BA,  437,WILD,A,1,CAIS,OCS Lease,G27476,TERMIN,Medco Energi US LLC,2021,Y,4/21/2007,10/21/2012,12/2/2012,4,Y,G27476,67,2,28.5264644,-95.67920703,27,71,3066232.81,267162,5802,S,2277,W,N,N
BA,A  22,BA022A,A,1,FIXED,Right-of-Use and Easement,G22096,TERMIN,"Cronus Offshore, Inc.",10195,Y,1/1/1981,6/10/2010,8/12/2010,4,Y,G03937,132,30,28.121484,-95.750047,27,71,3047584.81,119333,533,S,531,E,N,N
BA,A  52,BA052A,C,1,FIXED,OCS Lease,G06085,TERMIN,"Noble Energy, Inc.",10296,Y,1/1/1986,8/31/2011,10/24/2011,4,N,G06085,140,37,28.062749,-95.647655,27,71,3081192.81,98917,4043,N,1397,W,N,N
BA,A  52,BA052A,A,1,FIXED,OCS Lease,G06085,TERMIN,"Noble Energy, Inc.",10424,Y,1/1/1986,8/23/2011,9/20/2011,4,N,G06085,162,37,28.053052,-95.633117,27,71,3085981.81,95527,7433,N,6186,W,N,Y
BA,  491,BA491,A,1,FIXED,OCS Lease,G06069,TERMIN,Apache Corporation,10464,Y,1/1/1988,,,4,Y,G06069,70,50,28.396653,-95.861906,27,71,3008852.81,218362,4522,S,7583,E,N,N
